SampleNum,Raw,X,Y
1,28.000000,1.000000,28.000000
2,27.000000,2.000000,27.000000
3,31.000000,3.000000,31.000000
4,31.000000,4.000000,31.000000
5,27.000000,5.000000,27.000000
6,29.000000,6.000000,29.000000
7,31.000000,7.000000,31.000000
8,32.000000,8.000000,32.000000
9,37.000000,9.000000,37.000000
10,36.000000,10.000000,36.000000
11,39.000000,11.000000,39.000000
12,29.000000,12.000000,29.000000
13,28.000000,13.000000,28.000000
14,29.000000,14.000000,29.000000
15,33.000000,15.000000,33.000000
16,30.000000,16.000000,30.000000
17,29.000000,17.000000,29.000000
18,29.000000,18.000000,29.000000
19,26.000000,19.000000,26.000000
20,26.000000,20.000000,26.000000
21,28.000000,21.000000,28.000000
22,27.000000,22.000000,27.000000
23,27.000000,23.000000,27.000000
24,27.000000,24.000000,27.000000
25,30.000000,25.000000,30.000000
26,29.000000,26.000000,29.000000
27,28.000000,27.000000,28.000000
28,39.000000,28.000000,39.000000
29,49.000000,29.000000,49.000000
30,41.000000,30.000000,41.000000
31,20.000000,31.000000,20.000000
32,26.000000,32.000000,26.000000
33,33.000000,33.000000,33.000000
34,36.000000,34.000000,36.000000
35,33.000000,35.000000,33.000000
36,34.000000,36.000000,34.000000
37,43.000000,37.000000,43.000000
38,44.000000,38.000000,44.000000
39,48.000000,39.000000,48.000000
40,53.000000,40.000000,53.000000
41,48.000000,41.000000,48.000000
42,41.000000,42.000000,41.000000
43,41.000000,43.000000,41.000000
44,46.000000,44.000000,46.000000
45,48.000000,45.000000,48.000000
46,46.000000,46.000000,46.000000
47,35.000000,47.000000,35.000000
48,35.000000,48.000000,35.000000
49,39.000000,49.000000,39.000000
50,32.000000,50.000000,32.000000
51,34.000000,51.000000,34.000000
52,36.000000,52.000000,36.000000
53,36.000000,53.000000,36.000000
54,37.000000,54.000000,37.000000
55,37.000000,55.000000,37.000000
56,40.000000,56.000000,40.000000
57,47.000000,57.000000,47.000000
58,43.000000,58.000000,43.000000
59,47.000000,59.000000,47.000000
60,45.000000,60.000000,45.000000
61,46.000000,61.000000,46.000000
62,45.000000,62.000000,45.000000
63,52.000000,63.000000,52.000000
64,50.000000,64.000000,50.000000
65,48.000000,65.000000,48.000000
66,41.000000,66.000000,41.000000
67,44.000000,67.000000,44.000000
68,48.000000,68.000000,48.000000
69,37.000000,69.000000,37.000000
70,22.000000,70.000000,22.000000
71,23.000000,71.000000,23.000000
72,27.000000,72.000000,27.000000
73,30.000000,73.000000,30.000000
74,31.000000,74.000000,31.000000
