SampleNum,Raw,X,Y
1,84.000000,1.000000,84.000000
2,79.000000,2.000000,79.000000
3,70.000000,3.000000,70.000000
4,65.000000,4.000000,65.000000
5,85.000000,5.000000,85.000000
6,77.000000,6.000000,77.000000
7,71.000000,7.000000,71.000000
8,74.000000,8.000000,74.000000
9,84.000000,9.000000,84.000000
10,93.000000,10.000000,93.000000
11,88.000000,11.000000,88.000000
12,79.000000,12.000000,79.000000
13,76.000000,13.000000,76.000000
14,76.000000,14.000000,76.000000
15,71.000000,15.000000,71.000000
16,77.000000,16.000000,77.000000
17,78.000000,17.000000,78.000000
18,78.000000,18.000000,78.000000
19,80.000000,19.000000,80.000000
20,73.000000,20.000000,73.000000
21,64.000000,21.000000,64.000000
22,73.000000,22.000000,73.000000
23,73.000000,23.000000,73.000000
24,76.000000,24.000000,76.000000
25,75.000000,25.000000,75.000000
26,78.000000,26.000000,78.000000
27,71.000000,27.000000,71.000000
28,70.000000,28.000000,70.000000
29,62.000000,29.000000,62.000000
30,70.000000,30.000000,70.000000
31,78.000000,31.000000,78.000000
32,93.000000,32.000000,93.000000
33,77.000000,33.000000,77.000000
34,67.000000,34.000000,67.000000
35,73.000000,35.000000,73.000000
36,73.000000,36.000000,73.000000
37,76.000000,37.000000,76.000000
38,69.000000,38.000000,69.000000
39,78.000000,39.000000,78.000000
40,74.000000,40.000000,74.000000
41,74.000000,41.000000,74.000000
42,72.000000,42.000000,72.000000
43,69.000000,43.000000,69.000000
44,63.000000,44.000000,63.000000
45,75.000000,45.000000,75.000000
46,64.000000,46.000000,64.000000
47,73.000000,47.000000,73.000000
48,74.000000,48.000000,74.000000
49,76.000000,49.000000,76.000000
50,69.000000,50.000000,69.000000
51,91.000000,51.000000,91.000000
52,70.000000,52.000000,70.000000
53,60.000000,53.000000,60.000000
54,56.000000,54.000000,56.000000
55,61.000000,55.000000,61.000000
56,68.000000,56.000000,68.000000
57,63.000000,57.000000,63.000000
58,59.000000,58.000000,59.000000
59,56.000000,59.000000,56.000000
60,74.000000,60.000000,74.000000
61,69.000000,61.000000,69.000000
62,52.000000,62.000000,52.000000
63,55.000000,63.000000,55.000000
64,63.000000,64.000000,63.000000
65,67.000000,65.000000,67.000000
66,67.000000,66.000000,67.000000
67,76.000000,67.000000,76.000000
68,63.000000,68.000000,63.000000
69,71.000000,69.000000,71.000000
70,69.000000,70.000000,69.000000
71,71.000000,71.000000,71.000000
72,55.000000,72.000000,55.000000
73,67.000000,73.000000,67.000000
74,62.000000,74.000000,62.000000
75,53.000000,75.000000,53.000000
76,58.000000,76.000000,58.000000
77,69.000000,77.000000,69.000000
78,80.000000,78.000000,80.000000
79,60.000000,79.000000,60.000000
80,65.000000,80.000000,65.000000
81,71.000000,81.000000,71.000000
82,50.000000,82.000000,50.000000
83,51.000000,83.000000,51.000000
84,64.000000,84.000000,64.000000
85,55.000000,85.000000,55.000000
86,68.000000,86.000000,68.000000
87,71.000000,87.000000,71.000000
88,70.000000,88.000000,70.000000
89,53.000000,89.000000,53.000000
90,50.000000,90.000000,50.000000
91,51.000000,91.000000,51.000000
92,44.000000,92.000000,44.000000
93,67.000000,93.000000,67.000000
94,87.000000,94.000000,87.000000
95,53.000000,95.000000,53.000000
96,49.000000,96.000000,49.000000
97,64.000000,97.000000,64.000000
98,57.000000,98.000000,57.000000
99,47.000000,99.000000,47.000000
100,53.000000,100.000000,53.000000
101,53.000000,101.000000,53.000000
102,50.000000,102.000000,50.000000
103,66.000000,103.000000,66.000000
104,65.000000,104.000000,65.000000
105,71.000000,105.000000,71.000000
106,56.000000,106.000000,56.000000
107,55.000000,107.000000,55.000000
108,60.000000,108.000000,60.000000
109,51.000000,109.000000,51.000000
110,48.000000,110.000000,48.000000
111,49.000000,111.000000,49.000000
112,65.000000,112.000000,65.000000
113,47.000000,113.000000,47.000000
114,35.000000,114.000000,35.000000
115,65.000000,115.000000,65.000000
116,64.000000,116.000000,64.000000
117,60.000000,117.000000,60.000000
118,52.000000,118.000000,52.000000
119,63.000000,119.000000,63.000000
120,80.000000,120.000000,80.000000
121,65.000000,121.000000,65.000000
122,72.000000,122.000000,72.000000
123,65.000000,123.000000,65.000000
124,46.000000,124.000000,46.000000
125,68.000000,125.000000,68.000000
126,60.000000,126.000000,60.000000
127,65.000000,127.000000,65.000000
128,67.000000,128.000000,67.000000
129,62.000000,129.000000,62.000000
130,56.000000,130.000000,56.000000
131,58.000000,131.000000,58.000000
132,83.000000,132.000000,83.000000
133,72.000000,133.000000,72.000000
134,82.000000,134.000000,82.000000
135,83.000000,135.000000,83.000000
136,64.000000,136.000000,64.000000
137,57.000000,137.000000,57.000000
138,57.000000,138.000000,57.000000
139,49.000000,139.000000,49.000000
140,62.000000,140.000000,62.000000
141,64.000000,141.000000,64.000000
142,60.000000,142.000000,60.000000
143,58.000000,143.000000,58.000000
144,60.000000,144.000000,60.000000
145,57.000000,145.000000,57.000000
146,55.000000,146.000000,55.000000
147,65.000000,147.000000,65.000000
148,78.000000,148.000000,78.000000
