SampleNum,Raw,X,Y
1,61.000000,1.000000,61.000000
2,70.000000,2.000000,70.000000
3,51.000000,3.000000,51.000000
4,56.000000,4.000000,56.000000
5,63.000000,5.000000,63.000000
6,67.000000,6.000000,67.000000
7,25.000000,7.000000,25.000000
8,50.000000,8.000000,50.000000
9,66.000000,9.000000,66.000000
10,67.000000,10.000000,67.000000
11,70.000000,11.000000,70.000000
12,61.000000,12.000000,61.000000
13,66.000000,13.000000,66.000000
14,67.000000,14.000000,67.000000
15,52.000000,15.000000,52.000000
16,47.000000,16.000000,47.000000
17,54.000000,17.000000,54.000000
18,54.000000,18.000000,54.000000
19,53.000000,19.000000,53.000000
20,58.000000,20.000000,58.000000
21,59.000000,21.000000,59.000000
22,37.000000,22.000000,37.000000
23,37.000000,23.000000,37.000000
24,34.000000,24.000000,34.000000
25,55.000000,25.000000,55.000000
26,61.000000,26.000000,61.000000
27,65.000000,27.000000,65.000000
28,64.000000,28.000000,64.000000
29,63.000000,29.000000,63.000000
30,48.000000,30.000000,48.000000
31,58.000000,31.000000,58.000000
32,68.000000,32.000000,68.000000
33,68.000000,33.000000,68.000000
34,69.000000,34.000000,69.000000
35,68.000000,35.000000,68.000000
36,71.000000,36.000000,71.000000
37,64.000000,37.000000,64.000000
38,55.000000,38.000000,55.000000
39,57.000000,39.000000,57.000000
40,54.000000,40.000000,54.000000
41,54.000000,41.000000,54.000000
42,59.000000,42.000000,59.000000
43,65.000000,43.000000,65.000000
44,63.000000,44.000000,63.000000
45,50.000000,45.000000,50.000000
46,59.000000,46.000000,59.000000
47,49.000000,47.000000,49.000000
48,49.000000,48.000000,49.000000
49,57.000000,49.000000,57.000000
50,62.000000,50.000000,62.000000
51,65.000000,51.000000,65.000000
52,70.000000,52.000000,70.000000
53,70.000000,53.000000,70.000000
54,69.000000,54.000000,69.000000
55,67.000000,55.000000,67.000000
56,65.000000,56.000000,65.000000
57,68.000000,57.000000,68.000000
58,63.000000,58.000000,63.000000
59,45.000000,59.000000,45.000000
60,52.000000,60.000000,52.000000
61,59.000000,61.000000,59.000000
62,66.000000,62.000000,66.000000
63,66.000000,63.000000,66.000000
64,63.000000,64.000000,63.000000
65,65.000000,65.000000,65.000000
66,63.000000,66.000000,63.000000
67,53.000000,67.000000,53.000000
68,59.000000,68.000000,59.000000
69,56.000000,69.000000,56.000000
70,64.000000,70.000000,64.000000
71,68.000000,71.000000,68.000000
72,59.000000,72.000000,59.000000
73,52.000000,73.000000,52.000000
74,54.000000,74.000000,54.000000
75,65.000000,75.000000,65.000000
76,72.000000,76.000000,72.000000
77,69.000000,77.000000,69.000000
78,56.000000,78.000000,56.000000
79,61.000000,79.000000,61.000000
80,62.000000,80.000000,62.000000
81,66.000000,81.000000,66.000000
82,70.000000,82.000000,70.000000
83,66.000000,83.000000,66.000000
84,65.000000,84.000000,65.000000
85,38.000000,85.000000,38.000000
86,55.000000,86.000000,55.000000
87,66.000000,87.000000,66.000000
88,72.000000,88.000000,72.000000
89,61.000000,89.000000,61.000000
90,53.000000,90.000000,53.000000
91,58.000000,91.000000,58.000000
92,60.000000,92.000000,60.000000
93,64.000000,93.000000,64.000000
94,66.000000,94.000000,66.000000
95,67.000000,95.000000,67.000000
96,66.000000,96.000000,66.000000
97,72.000000,97.000000,72.000000
98,73.000000,98.000000,73.000000
99,56.000000,99.000000,56.000000
100,54.000000,100.000000,54.000000
101,62.000000,101.000000,62.000000
102,63.000000,102.000000,63.000000
103,65.000000,103.000000,65.000000
104,70.000000,104.000000,70.000000
105,74.000000,105.000000,74.000000
106,57.000000,106.000000,57.000000
107,66.000000,107.000000,66.000000
108,70.000000,108.000000,70.000000
109,69.000000,109.000000,69.000000
110,60.000000,110.000000,60.000000
111,59.000000,111.000000,59.000000
112,62.000000,112.000000,62.000000
113,64.000000,113.000000,64.000000
114,66.000000,114.000000,66.000000
115,69.000000,115.000000,69.000000
116,68.000000,116.000000,68.000000
117,72.000000,117.000000,72.000000
118,70.000000,118.000000,70.000000
119,72.000000,119.000000,72.000000
120,73.000000,120.000000,73.000000
121,74.000000,121.000000,74.000000
122,74.000000,122.000000,74.000000
123,70.000000,123.000000,70.000000
124,62.000000,124.000000,62.000000
125,64.000000,125.000000,64.000000
126,65.000000,126.000000,65.000000
127,68.000000,127.000000,68.000000
128,67.000000,128.000000,67.000000
129,70.000000,129.000000,70.000000
130,69.000000,130.000000,69.000000
131,71.000000,131.000000,71.000000
132,67.000000,132.000000,67.000000
133,70.000000,133.000000,70.000000
134,72.000000,134.000000,72.000000
135,75.000000,135.000000,75.000000
136,66.000000,136.000000,66.000000
137,57.000000,137.000000,57.000000
138,57.000000,138.000000,57.000000
139,61.000000,139.000000,61.000000
140,65.000000,140.000000,65.000000
141,65.000000,141.000000,65.000000
142,68.000000,142.000000,68.000000
143,72.000000,143.000000,72.000000
144,74.000000,144.000000,74.000000
