simuID,ndrf_last,ndhf_last,ajo,bjo,njo,beta,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8
1,0.018044,0.109896,807300000,2626830000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.1/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.1/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.1/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.1/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.1/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.1/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.1/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.1/NDH_000001.png
2,0.012785,0.117359,867100000,2626830000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.2/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.2/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.2/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.2/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.2/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.2/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.2/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.2/NDH_000001.png
3,0.007652,0.124668,926900000,2626830000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.3/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.3/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.3/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.3/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.3/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.3/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.3/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.3/NDH_000001.png
4,0.002721,0.13184,986700000,2626830000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.4/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.4/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.4/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.4/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.4/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.4/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.4/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.4/NDH_000001.png
5,0.018044,0.109896,807300000,2821410000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.5/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.5/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.5/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.5/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.5/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.5/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.5/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.5/NDH_000001.png
6,0.012785,0.117359,867100000,2821410000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.6/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.6/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.6/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.6/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.6/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.6/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.6/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.6/NDH_000001.png
7,0.007652,0.124668,926900000,2821410000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.7/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.7/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.7/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.7/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.7/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.7/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.7/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.7/NDH_000001.png
8,0.002721,0.13184,986700000,2821410000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.8/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.8/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.8/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.8/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.8/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.8/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.8/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.8/NDH_000001.png
9,0.018044,0.109896,807300000,3015990000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.9/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.9/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.9/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.9/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.9/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.9/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.9/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.9/NDH_000001.png
10,0.012785,0.117359,867100000,3015990000,0.3069,0.9215,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.10/stress_zz_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.10/damage_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.10/shape_wtest_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.10/shape_slice1_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.10/eqps_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.10/shape_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.10/momentum_000001.png,file://localhost/home/slycat/src/slycat/data/TAIS/workdir.10/NDH_000001.png
